JUGADOR;POS;PJ;PI;MIN;PTS;RB;TP;AS;TC;T3;TL;BR;BP;FP;EF;OR;DR;v;Derrota;PF;PC;Equipo;Edad;Altura;FGM;FGA;FTM;FTA;;;;;;;;;;;;;
T. Bradley;P;9;0;3,2;0,9;1,2;0;0,1;0,27;0,00;1,00;0;0;0,1;1,3;0,4;0,8;48;34;104,1;99,8;UTA;20;208,28;0,3;1,2;0,2;0,2;;;;;;;;;;;;;
N. Wolters;B;5;0;3,8;0,4;0,4;0;0,2;0,17;0,00;0,00;0;0;0,2;0;0,2;0,2;48;34;104,1;99,8;UTA;27;193,04;0,2;1,2;0;0;;;;;;;;;;;;;
E. McCree;P/AP;4;0;2;0;0,3;0;0;0,00;0,00;0,00;0,3;0,3;0;-0,3;0;0,3;48;34;104,1;99,8;UTA;24;203,2;0;0,5;0;0;;;;;;;;;;;;;
B. Beal;B/ES;82;82;36,3;22,6;4,4;0,4;4,5;0,46;0,38;0,79;1,2;2,6;2;19,9;0,7;3,7;43;39;106,6;106;WAS;25;195,58;8,3;18,1;3,6;4,5;;;;;;;;;;;;;
J. Wall;B;41;41;34,4;19,4;3,7;1,1;9,6;0,42;0,37;0,73;1,4;3,9;2;20,3;0,5;3,1;43;39;106,6;106;WAS;27;193,04;6,8;16,3;4,3;5,9;;;;;;;;;;;;;
O. Porter;AL/AP;77;77;31,6;14,7;6,4;0,5;2;0,50;0,44;0,83;1,5;1;2;18,2;1,3;5,1;43;39;106,6;106;WAS;25;203,2;5,8;11,5;1,4;1,7;;;;;;;;;;;;;
K. Oubre;AL/AP;81;11;27,5;11,8;4,5;0,4;1,2;0,40;0,34;0,82;1;1,1;2,9;11,4;0,7;3,8;43;39;106,6;106;WAS;22;200,66;3,9;9,8;2,4;2,9;;;;;;;;;;;;;
M. Morris;P/AP;73;73;26,9;11,5;5,6;0,5;1,9;0,48;0,37;0,82;0,8;1,7;3;13,4;1;4,6;43;39;106,6;106;WAS;28;208,28;4,5;9,4;1,4;1,8;;;;;;;;;;;;;
M. Scott;P/AP;76;1;18,5;8,8;3,3;0,1;1,1;0,53;0,41;0,66;0,3;1;1,9;8,9;0,7;2,6;43;39;106,6;106;WAS;29;203,2;3,6;6,9;0,7;1;;;;;;;;;;;;;
M. Gortat;P;82;82;25,3;8,4;7,6;0,7;1,8;0,52;0,00;0,68;0,5;1,2;2,1;13,9;2,2;5,4;43;39;106,6;106;WAS;34;210,82;3,5;6,8;1,3;2;;;;;;;;;;;;;
