JUGADOR;POS;PJ;PI;MIN;PTS;RB;TP;AS;TC;T3;TL;BR;BP;FP;EF;OR;DR;v;Derrota;PF;PC;Equipo;Edad;Altura;FGM;FGA;FTM;FTA;;;;;;;;;;;;;
M. Smart;B/ES;54;11;29,9;10,2;3,5;3,5;4,8;0,37;0,30;0,73;1,3;2,4;2,5;11,1;2;4,3;55;27;104;100,4;BOS;24;193,04;3,5;9,5;1,8;2,5;;;;;;;;;;;;;
G. Monroe;P;26;0;19,1;10,2;6,3;6,3;2,3;0,53;0,00;0,80;1,1;1,8;1,8;14,6;0,8;2,7;55;27;104;100,4;BOS;28;210,82;4;7,6;2,1;2,7;;;;;;;;;;;;;
J. Gibson;B/ES;4;0;10;8,5;0,8;0,8;1;0,61;0,50;0,00;0;0,8;1,3;7,3;0;0,8;55;27;104;100,4;BOS;30;187,96;3,5;5,8;0;0;;;;;;;;;;;;;
A. Baynes;P;81;67;18,3;6;5,4;5,4;1,1;0,47;0,14;0,76;0,3;1;2,5;9,2;1,6;3,8;55;27;104;100,4;BOS;31;208,28;2,6;5,5;0,7;1;;;;;;;;;;;;;
D. Theis;P/AP;63;3;14,8;5,3;4,3;4,3;0,9;0,54;0,31;0,75;0,5;0,9;2,5;8,8;1,4;2,9;55;27;104;100,4;BOS;26;205,74;2;3,7;1;1,3;;;;;;;;;;;;;
S. Larkin;B;54;2;14,4;4,3;1,7;1,7;1,8;0,38;0,36;0,87;0,5;0,6;1,1;5,2;0,3;1,4;55;27;104;100,4;BOS;25;180,34;1,6;4,1;0,6;0,7;;;;;;;;;;;;;
A. Nader;AL/AP;48;1;10,9;3;1,5;1,5;0,5;0,34;0,35;0,59;0,3;0,7;0,9;2,5;0,3;1,2;55;27;104;100,4;BOS;24;198,12;1;3,1;0,5;0,8;;;;;;;;;;;;;
J. Bird;ES/AL;13;1;8,8;3;1,5;1,5;0,6;0,58;0,43;0,46;0,2;0,6;0,5;3,4;0,5;1;55;27;104;100,4;BOS;23;198,12;1,2;2;0,5;1;;;;;;;;;;;;;
S. Ojeleye;AL/AP;73;0;15,8;2,7;2,2;2,2;0,3;0,35;0,32;0,61;0,3;0,3;1,2;3,2;0,5;1,7;55;27;104;100,4;BOS;23;200,66;0,9;2,6;0,3;0,6;;;;;;;;;;;;;
G. Yabusele;P/AP;33;4;7,1;2,4;1,6;1,6;0,5;0,43;0,32;0,68;0,1;0,4;0,7;3,1;0,5;1,1;55;27;104;100,4;BOS;22;203,2;0,8;1,8;0,5;0,7;;;;;;;;;;;;;
G. Hayward;AL/AP;1;1;5;2;1;1;0;0,50;0,00;0,00;0;0;1;2;0;1;55;27;104;100,4;BOS;28;203,2;1;2;0;0;;;;;;;;;;;;;
